Match,Shots,Passes,Dribbles,Tackles Attempted,Interceptions,Clearances,Blocks,Offsides,Fouls,Aerial duels,Touches,Loss of possession,Errors,Saves,Claims,Punches,Shots - Results - Goals,Shots - Results - Shots on Target,Shots - Results - Shots off Target,Shots - Results - Woodworks,Shots - Results - Blocked,Shots - Results - Own,Shots - Zones - 6-yard box,Shots - Zones - Penalty Area,Shots - Zones - Outside of box,Shots - Situation - Open Play,Shots - Situation - Fastbreak,Shots - Situation - Set Pieces,Shots - Situation - Penalty,Shots - Situation - Own Goal,Shots - Body Parts - Right foot,Shots - Body Parts - Left foot,Shots - Body Parts - Head,Shots - Body Parts - Other body parts,Passes - Pass Type - Cross,Passes - Pass Type - Freekick,Passes - Pass Type - Corner,Passes - Pass Type - Through Ball,Passes - Pass Type - Throw In,Passes - Pass Type - Key Passes,Passes - Length - Long,Passes - Length - Short,Passes - Height - Chipped,Passes - Height - Ground,Passes - Body Parts - Head,Passes - Body Parts - Feet,Passes - Direction - Forward,Passes - Direction - Backward,Passes - Direction - Left,Passes - Direction - Right,Passes - Target Zone - Defensive Third,Passes - Target Zone - Mid Third,Passes - Target Zone - Final Third,Dribbles - Outcome - Successful,Dribbles - Outcome - Unsuccessful,Tackles Attempted - Outcome - Successful Tackles,Tackles Attempted - Outcome - Was Dribbled,Clearances - Outcome - Total,Clearances - Outcome - Off The Line,Clearances - Body Parts - Head,Clearances - Body Parts - Feet,Blocks - Type - Blocked Shots,Blocks - Type - Crosses,Loss of possession - Type - Dispossessed,Loss of possession - Type - Turnover,Errors - Type - Lead to Shot,Errors - Type - Lead to Goal,Average Age,Market Value,Spectators,Pass rate,Ball possession,Tackle rate,Distance covered,Goals scored,Result-GoalDiff,Result-W/L/D,TravelDistance
Italy vs Spain,11,387,10,16,22,20,16,0,19,12,547,18,0,5,1,2,2,7,2,0,2,0,2,6,3,8,0,3,0,0,7,1,3,0,12,12,5,0,9,9,49,364,39,374,40,373,296,115,223,189,118,203,92,5,5,12,4,20,0,10,10,2,14,6,12,0,0,30.9,110.5,76125,78,41,50,118.0,2,2,1,602.20
Spain vs Italy,14,553,14,16,9,12,7,2,13,10,731,19,1,5,0,0,0,5,7,0,2,0,1,5,8,7,0,7,0,0,6,4,4,0,26,18,9,1,25,9,58,554,47,565,27,585,380,230,318,291,79,296,237,4,10,11,5,12,0,4,8,2,5,5,14,0,1,28.8,389.0,76125,85,59,50,110.0,0,-2,-1,412.11
England vs Iceland,18,519,31,14,7,40,7,2,6,35,756,34,1,3,0,0,1,4,11,0,3,0,2,8,8,11,0,6,1,0,10,3,5,0,29,10,7,8,30,11,53,527,67,513,33,547,385,194,293,284,71,307,202,17,14,11,3,40,0,33,7,0,7,16,18,0,1,25.7,265.0,33901,86,68,59,105.0,1,-1,-1,709.56
Iceland vs England,8,250,5,44,18,40,19,1,15,17,447,28,0,3,1,2,2,5,3,0,0,0,1,5,2,5,0,3,0,0,5,2,1,0,4,8,2,0,23,6,71,211,23,259,35,247,215,67,143,137,57,143,82,3,2,27,17,40,0,21,19,3,16,9,19,0,0,28.6,31.65,33901,63,32,41,109.0,2,1,1,258.15
Poland vs Portugal,14,649,19,31,22,27,22,3,16,26,874,27,0,4,2,0,1,5,5,0,4,0,1,6,7,13,0,1,0,0,8,4,2,0,16,13,2,0,25,12,83,616,54,645,54,645,460,236,342,354,146,387,166,12,7,15,16,27,0,19,8,9,13,14,13,0,0,28.4,154.9,62940,82,52,49,140.0,1,0,0,754.98
Portugal vs Poland,20,575,27,30,25,20,20,3,11,25,832,20,1,4,1,0,2,5,5,0,9,0,0,8,11,16,0,3,0,0,11,5,3,0,42,17,7,4,32,17,71,581,75,577,49,603,428,223,322,325,53,326,273,16,11,18,12,20,0,9,11,4,16,5,15,0,1,27.9,248.0,62940,83,48,51,141.0,1,0,0,645.50
Wales vs Belgium,15,422,22,16,15,33,14,1,12,19,602,10,0,3,2,0,3,7,5,0,3,0,0,12,3,9,0,6,0,0,5,4,6,0,14,9,7,0,15,13,55,401,33,423,25,431,289,165,238,218,89,236,131,9,13,11,5,33,0,17,16,3,11,5,5,0,0,27.4,154.0,45936,85,46,49,110.0,3,2,1,433.63
Belgium vs Wales,14,476,14,25,15,14,6,1,8,17,647,14,0,4,0,1,1,5,7,0,2,0,2,5,7,11,0,3,0,0,9,2,3,0,35,11,8,1,17,11,44,488,49,483,25,507,348,183,262,270,68,254,210,5,9,16,9,14,0,6,8,3,3,5,9,0,0,24.7,319.0,45936,86,54,51,105.0,1,-2,-1,699.00
Germany vs Italy,13,833,12,16,18,14,15,0,15,10,1028,28,0,2,0,0,2,3,7,0,2,0,1,4,7,10,0,2,0,0,7,4,1,0,26,13,7,2,24,9,102,787,77,812,38,851,524,360,458,426,115,445,329,6,6,13,3,14,0,5,9,5,10,10,18,0,0,27.5,370.0,38764,87,62,47,146.0,1,0,0,580.24
Italy vs Germany,13,521,12,22,20,34,10,2,13,12,724,26,1,3,0,0,2,3,4,0,5,0,0,6,6,10,0,1,1,0,7,5,0,0,12,14,5,0,23,9,78,484,55,507,38,524,363,199,282,277,168,265,129,3,9,16,6,34,0,17,17,2,8,7,19,1,0,30.0,116.5,38764,81,38,53,153.0,1,0,0,381.30
France vs Iceland,15,641,19,20,15,25,9,1,8,14,807,17,0,3,1,0,5,8,4,0,3,0,0,9,6,11,1,3,0,0,7,6,2,0,9,11,4,2,16,14,47,621,31,637,31,637,394,271,325,336,89,442,137,12,7,18,2,25,0,13,12,1,8,8,9,0,0,28.7,300.0,76833,90,61,57,106.0,5,3,1,39.36
Iceland vs France,11,403,8,25,9,16,11,0,11,17,552,25,1,3,0,0,2,5,5,0,1,0,2,6,3,7,0,4,0,0,5,1,5,0,13,9,4,1,16,11,46,392,47,391,27,411,284,149,215,223,110,225,103,2,6,13,12,16,0,10,6,3,8,14,11,0,1,28.7,31.65,76833,84,39,43,109.0,2,-3,-1,439.87
Portugal vs Wales,18,392,13,18,4,15,11,0,10,9,542,13,0,3,0,1,2,6,9,0,3,0,0,10,8,12,1,5,0,0,13,1,4,0,19,10,6,1,18,13,51,386,52,385,28,409,298,136,211,225,92,210,135,8,5,13,5,15,0,10,5,2,9,5,8,0,0,27.2,237.0,55679,83,44,50,106.0,2,2,1,381.51
Wales vs Portugal,9,510,13,18,12,16,10,0,12,18,657,15,0,4,1,0,0,3,4,0,2,0,1,3,5,6,0,3,0,0,1,5,3,0,18,6,2,1,15,7,64,486,54,496,32,518,342,207,282,264,110,321,119,5,8,10,8,16,0,11,5,3,7,7,8,0,0,28.5,121.5,55679,86,56,50,103.0,0,-2,-1,619.73
Germany vs France,18,641,25,26,12,13,9,4,8,11,831,15,1,4,0,0,0,5,8,1,5,0,1,9,8,15,0,3,0,0,6,8,3,1,29,9,6,3,17,13,54,639,64,629,30,663,428,262,336,357,88,338,267,13,12,16,10,13,0,6,7,3,6,4,11,0,1,26.6,354.0,64078,88,68,53,113.0,0,-2,-1,360.66
France vs Germany,16,301,16,25,9,38,19,0,12,17,485,18,1,5,2,0,2,6,6,0,4,0,0,11,5,10,1,4,1,0,8,6,2,0,15,8,5,0,13,10,49,284,28,305,34,299,226,106,152,181,54,188,91,10,6,12,13,38,0,16,22,4,15,11,7,1,0,28.7,300.0,64078,78,32,47,109.0,2,2,1,670.71
Portugal vs France,10,577,18,38,11,44,22,1,12,22,816,34,1,7,3,0,1,3,6,1,1,0,0,5,5,7,0,3,0,0,4,3,3,0,14,13,5,0,28,6,78,548,59,567,33,593,405,218,303,318,154,341,131,11,7,20,18,44,0,25,19,5,17,17,17,1,0,27.0,255.0,75868,83,44,46,144.0,1,1,1,32.66
France vs Portugal,18,724,30,34,9,28,11,2,13,22,970,20,0,2,0,0,0,7,6,1,5,0,0,11,7,16,0,2,0,0,9,5,4,0,44,12,9,2,33,15,51,752,69,734,44,759,494,301,383,417,88,482,233,18,12,23,11,28,0,14,14,1,10,10,10,0,0,28.7,300.0,75868,89,56,54,138.0,0,-1,-1,39.36
