"Match","Shots","Passes","Dribbles","Tackles.Attempted","Interceptions","Clearances","Blocks","Offsides","Fouls","Aerial.duels","Touches","Loss.of.possession","Errors","Saves","Claims","Punches","Shots...Results...Goals","Shots...Results...Shots.on.Target","Shots...Results...Shots.off.Target","Shots...Results...Woodworks","Shots...Results...Blocked","Shots...Results...Own","Shots...Zones...6.yard.box","Shots...Zones...Penalty.Area","Shots...Zones...Outside.of.box","Shots...Situation...Open.Play","Shots...Situation...Fastbreak","Shots...Situation...Set.Pieces","Shots...Situation...Penalty","Shots...Situation...Own.Goal","Shots...Body.Parts...Right.foot","Shots...Body.Parts...Left.foot","Shots...Body.Parts...Head","Shots...Body.Parts...Other.body.parts","Passes...Pass.Type...Cross","Passes...Pass.Type...Freekick","Passes...Pass.Type...Corner","Passes...Pass.Type...Through.Ball","Passes...Pass.Type...Throw.In","Passes...Pass.Type...Key.Passes","Passes...Length...Long","Passes...Length...Short","Passes...Height...Chipped","Passes...Height...Ground","Passes...Body.Parts...Head","Passes...Body.Parts...Feet","Passes...Direction...Forward","Passes...Direction...Backward","Passes...Direction...Left","Passes...Direction...Right","Passes...Target.Zone...Defensive.Third","Passes...Target.Zone...Mid.Third","Passes...Target.Zone...Final.Third","Dribbles...Outcome...Successful","Dribbles...Outcome...Unsuccessful","Tackles.Attempted...Outcome...Successful.Tackles","Tackles.Attempted...Outcome...Was.Dribbled","Clearances...Outcome...Total","Clearances...Outcome...Off.The.Line","Clearances...Body.Parts...Head","Clearances...Body.Parts...Feet","Blocks...Type...Blocked.Shots","Blocks...Type...Crosses","Loss.of.possession...Type...Dispossessed","Loss.of.possession...Type...Turnover","Errors...Type...Lead.to.Shot","Errors...Type...Lead.to.Goal","Average.Age","Market.Value","Ball.Posession","Spectators","Pass.rate","Tackle.rate","Distance.covered","Goals.scored","Result.GoalDiff","Result.W.L.D","TravelDistance"
"Russia vs Denmark",6,277,8,36,8,30,16,3,15,28,462,25,1,6,1,1,1,2,3,0,1,0,0,3,3,3,1,1,1,0,5,1,0,0,4,12,1,0,15,4,55,247,50,252,50,252,217,84,137,162,48,150,104,7,1,24,12,30,0,15,15,4,12,6,19,0,1,27.7,124.9,65,23644,67,59,102.9,1,-3,-1,1540.94
"Denmark vs Russia",16,498,25,14,10,16,6,0,16,19,698,32,0,1,0,0,4,10,2,0,4,0,1,10,5,8,1,7,0,0,9,4,3,0,22,15,7,2,26,9,62,486,71,477,34,514,328,218,271,275,107,284,157,12,13,7,7,16,0,11,5,1,5,11,21,0,0,28.3,177,35,23644,82,41,102,4,3,1,37.04
"Finland vs Belgium",8,451,15,22,16,32,10,0,6,4,609,20,0,7,0,0,0,1,1,0,5,1,0,4,3,6,0,1,0,1,3,4,0,0,6,12,0,1,7,6,57,411,49,419,17,451,282,182,251,216,141,227,100,8,7,10,12,32,0,10,22,3,7,10,10,0,0,30.1,29.25,60,18545,84,40,105.5,0,-2,-1,29.27
"Belgium vs Finland",17,683,18,25,3,10,14,2,10,14,853,24,0,1,0,0,1,7,7,1,3,0,0,12,5,13,1,3,0,0,9,6,2,0,18,6,5,2,21,17,34,690,36,688,25,699,430,291,367,356,70,393,261,12,6,17,8,10,0,7,3,5,9,5,19,0,0,29.1,386.9,40,18545,90,60,105.1,2,2,1,1923.01
"Croatia vs Scotland",11,642,16,8,10,22,5,4,10,19,800,24,1,2,0,3,3,6,3,0,2,0,1,3,7,10,0,1,0,0,8,2,1,0,9,9,5,3,20,10,53,624,48,629,30,647,402,269,335,336,141,375,161,11,5,6,2,22,0,12,10,2,3,8,16,1,0,28.2,197.5,34,9896,88,53,104.7,3,2,1,1731.86
"Scotland vs Croatia",11,308,6,23,10,12,10,1,8,15,460,17,0,3,0,0,1,3,6,0,2,0,1,6,4,8,0,3,0,0,7,2,2,0,22,13,7,1,17,8,56,294,51,299,20,330,224,122,194,155,63,168,119,2,4,12,11,12,0,4,8,2,8,3,14,0,0,27.8,205.5,66,9896,79,47,107.9,1,-2,-1,236.54
"Czech Republic vs England",7,411,5,24,9,17,3,2,10,10,562,20,0,3,0,0,0,1,4,0,2,0,0,5,2,4,0,3,0,0,6,0,1,0,16,16,4,0,19,6,46,403,56,393,30,419,289,158,225,218,106,211,132,2,3,15,9,17,0,10,7,0,3,4,16,0,0,28.8,108.7,56,19104,79,47,114.9,0,-1,-1,1043.67
"England vs Czech Republic",5,528,19,8,14,12,8,5,11,18,688,21,0,1,0,1,1,3,2,0,0,0,1,3,1,4,0,1,0,0,3,0,2,0,15,9,6,4,20,4,59,510,50,519,34,535,324,241,279,288,145,294,130,9,10,6,2,12,0,3,9,2,6,9,12,0,0,26.2,595,44,19104,84,53,108.5,1,1,1,166.29
"Sweden vs Poland",11,252,11,18,9,42,16,0,13,25,440,15,0,4,1,0,3,4,4,0,3,0,0,6,5,6,1,4,0,0,7,3,1,0,13,11,6,0,23,7,71,219,46,244,51,239,216,72,148,140,35,121,134,6,5,12,6,42,0,23,19,6,10,6,9,0,0,29.6,112.9,67,14252,56,47,109.6,3,1,1,1076.26
"Poland vs Sweden",18,482,15,15,8,20,12,1,13,36,692,19,0,1,0,1,2,6,6,2,6,0,2,8,8,11,1,6,0,0,7,6,5,0,48,12,10,2,25,14,55,503,83,475,59,499,390,168,271,285,85,267,206,6,9,9,6,20,0,8,12,3,9,6,13,0,0,28.3,199.5,33,14252,80,53,106.8,2,-1,-1,931.89
